Date,Open,High,Low,Close ,Adj Close ,Volume
5-Apr-21,"42,280.97","43,290.38","42,280.97","43,288.24","43,288.24",-
29-Mar-21,"41,720.15","42,286.26","41,258.25","42,280.97","42,280.97",-
22-Mar-21,"41,443.12","41,844.53","40,352.80","41,720.15","41,720.15",-
15-Mar-21,"41,900.34","42,276.26","41,083.92","41,443.12","41,443.12",-
8-Mar-21,"40,564.86","42,263.83","40,293.65","41,900.34","41,900.34",-
1-Mar-21,"40,508.68","41,655.35","39,172.94","40,564.86","40,564.86",-
22-Feb-21,"41,747.25","41,795.91","40,168.66","40,508.68","40,508.68",-
15-Feb-21,"42,099.85","42,290.82","41,351.24","41,747.25","41,747.25",-
8-Feb-21,"41,448.87","42,112.73","41,448.87","42,099.85","42,099.85",-
1-Feb-21,"39,396.17","41,498.49","39,396.17","41,448.87","41,448.87",-
25-Jan-21,"40,783.63","41,097.12","39,178.53","39,396.17","39,396.17",-
18-Jan-21,"39,981.97","40,915.64","39,981.97","40,783.63","40,783.63",-
11-Jan-21,"40,386.08","40,570.78","39,766.60","39,981.97","39,981.97",-
4-Jan-21,"39,456.66","40,421.66","38,484.67","40,386.08","40,386.08",-
28-Dec-20,"39,175.59","39,573.79","39,134.70","39,456.66","39,456.66",-
21-Dec-20,"39,130.65","39,288.41","38,407.93","39,175.59","39,175.59",-
14-Dec-20,"38,481.00","39,292.13","38,355.73","39,130.65","39,130.65",-
7-Dec-20,"38,704.22","38,979.68","38,147.50","38,481.00","38,481.00",-
30-Nov-20,"38,057.37","38,704.22","37,516.94","38,704.22","38,704.22",-
23-Nov-20,"37,023.18","38,106.38","37,023.18","38,057.37","38,057.37",-
16-Nov-20,"36,994.94","37,519.29","36,811.35","37,023.18","37,023.18",-
9-Nov-20,"36,256.93","37,565.55","36,140.36","36,994.94","36,994.94",-
2-Nov-20,"33,724.81","36,408.22","33,724.81","36,256.93","36,256.93",-
26-Oct-20,"35,793.37","35,793.37","33,398.65","33,724.81","33,724.81",-
19-Oct-20,"35,960.35","36,170.65","35,239.80","35,793.37","35,793.37",-
12-Oct-20,"35,881.25","36,566.72","35,505.22","35,960.35","35,960.35",-
5-Oct-20,"34,470.87","35,934.61","34,470.87","35,881.25","35,881.25",-
28-Sep-20,"33,816.19","34,841.39","33,816.19","34,470.87","34,470.87",-
21-Sep-20,"33,541.40","34,084.16","32,832.15","33,816.19","33,816.19",-
14-Sep-20,"34,423.73","35,126.03","33,747.60","34,055.18","34,055.18",-
7-Sep-20,"34,233.74","34,988.24","33,761.74","34,072.72","34,072.72",-
31-Aug-20,"35,849.61","36,658.73","34,119.17","34,970.27","34,970.27",-
24-Aug-20,"34,741.23","35,850.46","34,741.23","35,841.57","35,841.57",-
